No,Movie_Name,Year_Started,Genre,RunTime,Rating,Director,Actor,Description,IMDB_Score,Metascore,Votes,USA_Gross,Category
2,The Falcon and the Winter Soldier,2021,"Action,Adventure,Drama",50,TV-14,NA,"AnthonyMackie,SebastianStan,WyattRussell,ErinKellyman","Following the events of 'Avengers: Endgame,' Sam Wilson/Falcon and Bucky Barnes/Winter Soldier team up in a global adventure that tests their abilities -- and their patience.",7.5,NA,105557,NA,Marvel
3,WandaVision,2021,"Action,Comedy,Drama",350,TV-PG,NA,"ElizabethOlsen,PaulBettany,KathrynHahn,TeyonahParris","Blends the style of classic sitcoms with the MCU, in which Wanda Maximoff and Vision - two super-powered beings living their ideal suburban lives - begin to suspect that everything is not as it seems.",8.1,NA,174710,NA,Marvel
6,Avengers: Endgame,2019,"Action,Adventure,Drama",181,PG-13,"AnthonyRusso,JoeRusso","RobertDowneyJr.,ChrisEvans,MarkRuffalo,ChrisHemsworth","After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",8.4,78,880911,$858.37M,Marvel
7,Guardians of the Galaxy,2014,"Action,Adventure,Comedy",121,PG-13,JamesGunn,"ChrisPratt,VinDiesel,BradleyCooper,ZoeSaldana",A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,8,76,1066222,$333.18M,Marvel
9,Spider-Man: Far from Home,2019,"Action,Adventure,Sci-Fi",129,PG-13,JonWatts,"TomHolland,SamuelL.Jackson,JakeGyllenhaal,MarisaTomei","Following the events of Avengers: Endgame (2019), Spider-Man must step up to take on new threats in a world that has changed forever.",7.5,69,348047,$390.53M,Marvel
10,Thor: Ragnarok,2017,"Action,Adventure,Comedy",130,PG-13,TaikaWaititi,"ChrisHemsworth,TomHiddleston,CateBlanchett,MarkRuffalo","Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnar<U+00F6>k, the destruction of his world, at the hands of the powerful and ruthless villain Hela.",7.9,74,615860,$315.06M,Marvel
11,Avengers: Infinity War,2018,"Action,Adventure,Sci-Fi",149,PG-13,"AnthonyRusso,JoeRusso","RobertDowneyJr.,ChrisHemsworth,MarkRuffalo,ChrisEvans",The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,8.4,68,881638,$678.82M,Marvel
12,Black Panther,2018,"Action,Adventure,Sci-Fi",134,PG-13,RyanCoogler,"ChadwickBoseman,MichaelB.Jordan,LupitaNyong'o,DanaiGurira","T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.",7.3,88,652032,$700.06M,Marvel
13,Captain Marvel,2019,"Action,Adventure,Sci-Fi",123,PG-13,"AnnaBoden,RyanFleck","BrieLarson,SamuelL.Jackson,BenMendelsohn,JudeLaw",Carol Danvers becomes one of the universe's most powerful heroes when Earth is caught in the middle of a galactic war between two alien races.,6.9,64,470319,$426.83M,Marvel
15,Spider-Man: Homecoming,2017,"Action,Adventure,Sci-Fi",133,PG-13,JonWatts,"TomHolland,MichaelKeaton,RobertDowneyJr.,MarisaTomei","Peter Parker balances his life as an ordinary high school student in Queens with his superhero alter-ego Spider-Man, and finds himself on the trail of a new menace prowling the skies of New York City.",7.4,73,532946,$334.20M,Marvel
16,Avengers: Age of Ultron,2015,"Action,Adventure,Sci-Fi",141,PG-13,JossWhedon,"RobertDowneyJr.,ChrisEvans,MarkRuffalo,ChrisHemsworth","When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan.",7.3,66,769385,$459.01M,Marvel
17,Captain America: The First Avenger,2011,"Action,Adventure,Sci-Fi",124,PG-13,JoeJohnston,"ChrisEvans,HugoWeaving,SamuelL.Jackson,HayleyAtwell","Steve Rogers, a rejected military soldier, transforms into Captain America after taking a dose of a ""Super-Soldier serum"". But being Captain America comes at a price as he attempts to take down a war monger and a terrorist organization.",6.9,66,761947,$176.65M,Marvel
18,Guardians of the Galaxy Vol. 2,2017,"Action,Adventure,Comedy",136,PG-13,JamesGunn,"ChrisPratt,ZoeSaldana,DaveBautista,VinDiesel","The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father the ambitious celestial being Ego.",7.6,67,589362,$389.81M,Marvel
19,Thor,2011,"Action,Adventure,Fantasy",115,PG-13,KennethBranagh,"ChrisHemsworth,AnthonyHopkins,NataliePortman,TomHiddleston","The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders.",7,57,764898,$181.03M,Marvel
20,Iron Man,2008,"Action,Adventure,Sci-Fi",126,PG-13,JonFavreau,"RobertDowneyJr.,GwynethPaltrow,TerrenceHoward,JeffBridges","After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",7.9,79,960817,$318.41M,Marvel
21,Captain America: Civil War,2016,"Action,Adventure,Sci-Fi",147,PG-13,"AnthonyRusso,JoeRusso","ChrisEvans,RobertDowneyJr.,ScarlettJohansson,SebastianStan",Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.,7.8,75,686621,$408.08M,Marvel
22,The Avengers,2012,"Action,Adventure,Sci-Fi",143,PG-13,JossWhedon,"RobertDowneyJr.,ChrisEvans,ScarlettJohansson,JeremyRenner",Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,8,69,1283515,$623.28M,Marvel
24,Brightburn,2019,"Drama,Horror,Mystery",90,R,DavidYarovesky,"ElizabethBanks,DavidDenman,JacksonA.Dunn,AbrahamClinkscales","What if a child from another world crash-landed on Earth, but instead of becoming a hero to mankind, he proved to be something far more sinister?",6.1,44,84999,$17.30M,Marvel
25,Doctor Strange,2016,"Action,Adventure,Fantasy",115,PG-13,ScottDerrickson,"BenedictCumberbatch,ChiwetelEjiofor,RachelMcAdams,BenedictWong","While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts.",7.5,72,619963,$232.64M,Marvel
26,Ant-Man,2015,"Action,Adventure,Comedy",117,PG-13,PeytonReed,"PaulRudd,MichaelDouglas,CoreyStoll,EvangelineLilly","Armed with a super-suit with the astonishing ability to shrink in scale but increase in strength, cat burglar Scott Lang must embrace his inner hero and help his mentor, Dr. Hank Pym, plan and pull off a heist that will save the world.",7.3,64,588231,$180.20M,Marvel
27,Captain America: The Winter Soldier,2014,"Action,Adventure,Sci-Fi",136,PG-13,"AnthonyRusso,JoeRusso","ChrisEvans,SamuelL.Jackson,ScarlettJohansson,RobertRedford","As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier.",7.7,70,756882,$259.77M,Marvel
28,Iron Man 3,2013,"Action,Adventure,Sci-Fi",130,PG-13,ShaneBlack,"RobertDowneyJr.,GuyPearce,GwynethPaltrow,DonCheadle","When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",7.1,62,772986,$409.01M,Marvel
31,Thor: The Dark World,2013,"Action,Adventure,Fantasy",112,PG-13,AlanTaylor,"ChrisHemsworth,NataliePortman,TomHiddleston,StellanSkarsg<U+00E5>rd","When the Dark Elves attempt to plunge the universe into darkness, Thor must embark on a perilous and personal journey that will reunite him with doctor Jane Foster.",6.9,54,611700,$206.36M,Marvel
32,Iron Man 2,2010,"Action,Adventure,Sci-Fi",124,PG-13,JonFavreau,"RobertDowneyJr.,MickeyRourke,GwynethPaltrow,DonCheadle","With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy.",7,57,739920,$312.43M,Marvel
33,Spider-Man 3,2007,"Action,Adventure,Sci-Fi",139,PG-13,SamRaimi,"TobeyMaguire,KirstenDunst,TopherGrace,ThomasHadenChurch","A strange black entity from another world bonds with Peter Parker and causes inner turmoil as he contends with new villains, temptations, and revenge.",6.2,59,509072,$336.53M,Marvel
34,Ant-Man and the Wasp,2018,"Action,Adventure,Comedy",118,PG-13,PeytonReed,"PaulRudd,EvangelineLilly,MichaelPe<U+00F1>a,WaltonGoggins","As Scott Lang balances being both a superhero and a father, Hope van Dyne and Dr. Hank Pym present an urgent new mission that finds the Ant-Man fighting alongside The Wasp to uncover secrets from their past.",7,70,327092,$216.65M,Marvel
35,The Incredible Hulk,2008,"Action,Adventure,Sci-Fi",112,PG-13,LouisLeterrier,"EdwardNorton,LivTyler,TimRoth,WilliamHurt","Bruce Banner, a scientist on the run from the U.S. Government, must find a cure for the monster he turns into whenever he loses his temper.",6.7,61,444258,$134.52M,Marvel
